region,similarity,distance,days,is_same_cluster,score
Brazil.regions.PR:Jacarezinho,1.0,0.0,18,False,1.0
Brazil.regions.PR:Tupãssi,1.0,0.0,18,False,1.0
Brazil.regions.RO:Ji-Paraná,1.0,0.0,18,False,1.0
Brazil.regions.BA:Ibotirama,1.0,0.0,18,False,1.0
Brazil.regions.RN:São Pedro,1.0,0.0,18,False,1.0
Brazil.regions.RN:São Miguel do Gostoso,1.0,0.0,18,False,1.0
Brazil.regions.CE:Martinópole,1.0,0.0,18,False,1.0
Brazil.regions.BA:Medeiros Neto,1.0,0.0,18,False,1.0
Brazil.regions.BA:Piripá,1.0,0.0,18,False,1.0
Brazil.regions.RN:Barcelona,1.0,0.0,18,False,1.0
Brazil.regions.GO:Nova Veneza,1.0,0.0,18,False,1.0
Brazil.regions.CE:Lavras da Mangabeira,1.0,0.0,18,False,1.0
Brazil.regions.CE:Itaiçaba,1.0,0.0,18,False,1.0
Brazil.regions.RJ:Cantagalo,1.0,0.0,18,False,1.0
Brazil.regions.PR:Vitorino,1.0,0.0,18,False,1.0
Brazil.regions.PR:Terra Rica,1.0,0.0,18,False,1.0
Brazil.regions.SP:Vista Alegre do Alto,1.0,0.0,18,False,1.0
Brazil.regions.MG:Belo Oriente,1.0,0.0,18,False,1.0
Brazil.regions.PR:São Manoel do Paraná,1.0,0.0,18,False,1.0
Brazil.regions.CE:Araripe,1.0,0.0,18,False,1.0
Brazil.regions.SP:São Pedro,1.0,0.0,18,False,1.0
Brazil.regions.MG:Esmeraldas,1.0,0.0,18,False,1.0
Brazil.regions.PR:Pinhal de São Bento,1.0,0.0,18,False,1.0
Brazil.regions.PR:Nova Fátima,1.0,0.0,18,False,1.0
Brazil.regions.CE:Amontada,1.0,0.0,18,False,1.0
Brazil.regions.BA:São Domingos,1.0,0.0,18,False,1.0
Brazil.regions.BA:Itabela,1.0,0.0,18,False,1.0
Brazil.regions.PR:Jaguapitã,1.0,0.0,18,False,1.0
Brazil.regions.PR:Faxinal,1.0,0.0,18,False,1.0
Brazil.regions.PR:Campo do Tenente,1.0,0.0,18,False,1.0
Brazil.regions.RS:Ajuricaba,1.0,0.0,18,False,1.0
Brazil.regions.SP:Taquaritinga,1.0,0.0,18,False,1.0
Brazil.regions.BA:Candeias,1.0,0.0,18,False,1.0
Brazil.regions.ES:Santa Teresa,1.0,0.0,18,False,1.0
Brazil.regions.MG:Divinópolis,1.0,0.0,18,False,1.0
Brazil.regions.SP:Estrela d'Oeste,1.0,0.0,18,False,1.0
Brazil.regions.SE:Nossa Senhora da Glória,1.0,0.0,18,False,1.0
Brazil.regions.PB:Sousa,1.0,0.0,18,False,1.0
Brazil.regions.SP:Apiaí,1.0,0.0,18,False,1.0
Brazil.regions.MG:Imbé de Minas,1.0,0.0,18,False,1.0
Brazil.regions.SC:Tigrinhos,1.0,0.0,18,False,1.0
Brazil.regions.SC:Santa Helena,1.0,0.0,18,False,1.0
Brazil.regions.MG:Campos Gerais,1.0,0.0,18,False,1.0
Brazil.regions.RJ:Barra Mansa,1.0,0.0,18,False,1.0
Brazil.regions.RS:Tramandaí,1.0,0.0,18,False,1.0
Brazil.regions.SC:Palma Sola,1.0,0.0,18,False,1.0
Brazil.regions.ES:São Roque do Canaã,1.0,0.0,18,False,1.0
Brazil.regions.SC:Irati,1.0,0.0,18,False,1.0
Brazil.regions.RS:Glorinha,1.0,0.0,18,False,1.0
Brazil.regions.ES:Brejetuba,1.0,0.0,18,False,1.0
Brazil.regions.RS:Tupandi,1.0,0.0,18,False,1.0
Brazil.regions.ES:Boa Esperança,1.0,0.0,18,False,1.0
Brazil.regions.RS:Veranópolis,1.0,0.0,18,False,1.0
Brazil.regions.SC:Aurora,1.0,0.0,18,False,1.0
Brazil.regions.SC:Pescaria Brava,1.0,0.0,18,False,1.0
Brazil.regions.RS:Vila Maria,1.0,0.0,18,False,1.0
Brazil.regions.BA:Ituberá,1.0,0.0,18,False,1.0
Brazil.regions.SP:Adamantina,1.0,0.0,18,False,1.0
Brazil.regions.SP:Elias Fausto,1.0,0.0,18,False,1.0
Brazil.regions.BA:Canarana,1.0,0.0,18,False,1.0
Brazil.regions.RS:Santiago,1.0,0.0,18,False,1.0
